Country_Name,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita),Phones (per 1000),Coffee Domestic Consumption,Overall rank,Score,Coffee per Capita
argentina,latin amer. & carib,39921833,2766890,"14,4","15,18",11200.0,220.4,2094.7368421052633,47,6.086,5.2470958487934743e-05
australia,oceania,20264082,7686850,"2,6","4,69",29000.0,565.5,47.90163934426229,11,7.228,2.3638692018845115e-06
benin,sub-saharan africa,7862944,112620,"69,8",85,1100.0,9.7,730.3157894736842,102,4.883,9.288070593834626e-05
bolivia,latin amer. & carib,8989046,1098580,"8,2","53,11",2400.0,71.9,1505.0,61,5.779,0.00016742599826499944
cameroon,sub-saharan africa,17340702,475440,"36,5","68,26",1800.0,5.7,0.66,96,5.044,3.806074286957933e-08
canada,northern america,33098932,9984670,"3,3","4,75",29800.0,552.2,42.77049180327869,9,7.278,1.292201567207023e-06
chile,latin amer. & carib,16134219,756950,"21,3","8,8",9900.0,213.0,2.278688524590164,26,6.444,1.4123327101176474e-07
china,asia (ex. near east),1313973713,9596960,"136,9","24,18",5000.0,266.7,49.950819672131146,93,5.191,3.8015082933497885e-08
colombia,latin amer. & carib,43593035,1138910,"38,3","20,97",6300.0,176.2,4017.6315789473683,43,6.125,9.21622359844266e-05
costa rica,latin amer. & carib,4075261,51100,"79,8","9,95",9100.0,340.7,226.31578947368422,12,7.167,5.5534060143309645e-05
croatia,eastern europe,4494749,56542,"79,5","6,84",10600.0,420.4,1567.7894736842106,75,5.432,0.00034880467712083827
ecuador,latin amer. & carib,13547510,283560,"47,8","23,66",3300.0,125.6,0.9508196721311475,50,6.028,7.01840908130828e-08
egypt,northern africa,78887007,1001450,"78,8","32,59",4000.0,131.8,164.54098360655738,137,4.166,2.0857805342590493e-06
ethiopia,sub-saharan africa,74777981,1127127,"66,3","95,32",700.0,8.2,203.327868852459,134,4.286,2.719087439021107e-06
gabon,sub-saharan africa,1424906,267667,"5,3","53,64",5500.0,27.4,286.344262295082,104,4.799,0.00020095659804582336
ghana,sub-saharan africa,22409572,239460,"93,6","51,43",2200.0,14.4,293.3114754098361,98,4.996,1.3088669226250107e-05
guatemala,latin amer. & carib,12293545,108890,"112,9","35,93",4100.0,92.1,217.14754098360655,27,6.436,1.7663541393764496e-05
