Year,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita)
2015,Switzerland,Western Europe,1,7.587,1.39651
2015,Iceland,Western Europe,2,7.561,1.30232
2015,Denmark,Western Europe,3,7.527,1.32548
2015,Norway,Western Europe,4,7.522,1.459
2015,Canada,North America,5,7.427,1.32629
2015,Finland,Western Europe,6,7.406,1.29025
2015,Netherlands,Western Europe,7,7.378,1.32944
2015,Sweden,Western Europe,8,7.364,1.33171
2015,New Zealand,Australia and New Zealand,9,7.286,1.25018
2015,Australia,Australia and New Zealand,10,7.284,1.33358
2015,Israel,Middle East and Northern Africa,11,7.278,1.22857
2015,Costa Rica,Latin America and Caribbean,12,7.226,0.95578
2015,Austria,Western Europe,13,7.2,1.33723
2015,Mexico,Latin America and Caribbean,14,7.187,1.02054
2015,United States,North America,15,7.119,1.39451
2015,Brazil,Latin America and Caribbean,16,6.983,0.98124
2015,Luxembourg,Western Europe,17,6.946,1.56391
2015,Ireland,Western Europe,18,6.94,1.33596
2015,Belgium,Western Europe,19,6.937,1.30782
2015,United Arab Emirates,Middle East and Northern Africa,20,6.901,1.42727
2015,United Kingdom,Western Europe,21,6.867,1.26637
2015,Oman,Middle East and Northern Africa,22,6.853,1.36011
2015,Venezuela,Latin America and Caribbean,23,6.81,1.04424
2015,Singapore,Southeastern Asia,24,6.798,1.52186
2015,Panama,Latin America and Caribbean,25,6.786,1.06353
2015,Germany,Western Europe,26,6.75,1.32792
2015,Chile,Latin America and Caribbean,27,6.67,1.10715
2015,Qatar,Middle East and Northern Africa,28,6.611,1.69042
2015,France,Western Europe,29,6.575,1.27778
2015,Argentina,Latin America and Caribbean,30,6.574,1.05351
2015,Czech Republic,Central and Eastern Europe,31,6.505,1.17898
2015,Uruguay,Latin America and Caribbean,32,6.485,1.06166
2015,Colombia,Latin America and Caribbean,33,6.477,0.91861
2015,Thailand,Southeastern Asia,34,6.455,0.9669
2015,Saudi Arabia,Middle East and Northern Africa,35,6.411,1.39541
2015,Spain,Western Europe,36,6.329,1.23011
2015,Malta,Western Europe,37,6.302,1.2074
2015,Taiwan,Eastern Asia,38,6.298,1.29098
2015,Kuwait,Middle East and Northern Africa,39,6.295,1.55422
2015,Suriname,Latin America and Caribbean,40,6.269,0.99534
2015,Trinidad and Tobago,Latin America and Caribbean,41,6.168,1.21183
2015,El Salvador,Latin America and Caribbean,42,6.13,0.76454
2015,Guatemala,Latin America and Caribbean,43,6.123,0.74553
2015,Uzbekistan,Central and Eastern Europe,44,6.003,0.63244
2015,Slovakia,Central and Eastern Europe,45,5.995,1.16891
2015,Japan,Eastern Asia,46,5.987,1.27074
2015,South Korea,Eastern Asia,47,5.984,1.24461
2015,Ecuador,Latin America and Caribbean,48,5.975,0.86402
2015,Bahrain,Middle East and Northern Africa,49,5.96,1.32376
2015,Italy,Western Europe,50,5.948,1.25114
2015,Bolivia,Latin America and Caribbean,51,5.89,0.68133
2015,Moldova,Central and Eastern Europe,52,5.889,0.59448
2015,Paraguay,Latin America and Caribbean,53,5.878,0.75985
2015,Kazakhstan,Central and Eastern Europe,54,5.855,1.12254
2015,Slovenia,Central and Eastern Europe,55,5.848,1.18498
2015,Lithuania,Central and Eastern Europe,56,5.833,1.14723
2015,Nicaragua,Latin America and Caribbean,57,5.828,0.59325
2015,Peru,Latin America and Caribbean,58,5.824,0.90019
2015,Belarus,Central and Eastern Europe,59,5.813,1.03192
2015,Poland,Central and Eastern Europe,60,5.791,1.12555
2015,Malaysia,Southeastern Asia,61,5.77,1.12486
2015,Croatia,Central and Eastern Europe,62,5.759,1.08254
2015,Libya,Middle East and Northern Africa,63,5.754,1.13145
2015,Russia,Central and Eastern Europe,64,5.716,1.13764
2015,Jamaica,Latin America and Caribbean,65,5.709,0.81038
2015,North Cyprus,Western Europe,66,5.695,1.20806
2015,Cyprus,Western Europe,67,5.689,1.20813
