Country_Name,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita),Phones (per 1000),Coffee Domestic Consumption,Overall rank,Score
algeria,northern africa,32930091,2381740,13.8,31.0,6000.0,78.1,2094.7368421052633,88,5.211
argentina,latin amer. & carib,39921833,2766890,14.4,15.18,11200.0,220.4,730.3157894736842,47,6.086
australia,oceania,20264082,7686850,2.6,4.69,29000.0,565.5,1505.0,11,7.228
benin,sub-saharan africa,7862944,112620,69.8,85.0,1100.0,9.7,0.66,102,4.883
bolivia,latin amer. & carib,8989046,1098580,8.2,53.11,2400.0,71.9,42.77049180327869,61,5.779
brazil,latin amer. & carib,188078227,8511965,22.1,29.61,7600.0,225.3,12228.311475409837,32,6.3
burundi,sub-saharan africa,8090068,27830,290.7,69.29,600.0,3.4,2.278688524590164,145,3.775
cameroon,sub-saharan africa,17340702,475440,36.5,68.26,1800.0,5.7,49.950819672131146,96,5.044
canada,northern america,33098932,9984670,3.3,4.75,29800.0,552.2,4017.6315789473683,9,7.278
chile,latin amer. & carib,16134219,756950,21.3,8.8,9900.0,213.0,226.31578947368422,26,6.444
china,asia (ex. near east),1313973713,9596960,136.9,24.18,5000.0,266.7,1567.7894736842106,93,5.191
colombia,latin amer. & carib,43593035,1138910,38.3,20.97,6300.0,176.2,1463.5245901639344,43,6.125
costa rica,latin amer. & carib,4075261,51100,79.8,9.95,9100.0,340.7,254.62295081967213,12,7.167
croatia,eastern europe,4494749,56542,79.5,6.84,10600.0,420.4,0.0,75,5.432
dominican republic,latin amer. & carib,9183984,48730,188.5,32.38,6000.0,97.4,293.3114754098361,77,5.425
ecuador,latin amer. & carib,13547510,283560,47.8,23.66,3300.0,125.6,217.14754098360655,50,6.028
egypt,northern africa,78887007,1001450,78.8,32.59,4000.0,131.8,396.05263157894734,137,4.166
el salvador,latin amer. & carib,6822378,21040,324.3,25.1,4800.0,142.4,194.11475409836066,35,6.253
ethiopia,sub-saharan africa,74777981,1127127,66.3,95.32,700.0,8.2,1814.0983606557377,134,4.286
